Height,lat,lon,IIiii,RR
11157,27.8,119.6,K9364,37
11157,27.8,119.6,K9364,21
11157,27.8,119.6,K9364,30
11058,28.35,119.1333333,K7820,51
11058,28.35,119.1333333,K7820,49
11058,28.35,119.1333333,K7820,90
11058,28.35,119.1333333,K7820,149
11058,28.35,119.1333333,K7820,134
11058,28.35,119.1333333,K7820,62
11058,28.35,119.1333333,K7820,49
10980,27.85,119.0833333,K9178,55
10980,27.85,119.0833333,K9178,56
10980,27.85,119.0833333,K9178,58
10980,27.85,119.0833333,K9178,116
10980,27.85,119.0833333,K9178,29
10980,27.85,119.0833333,K9178,9
10980,27.85,119.0833333,K9178,6
10950,28.03333333,119.4333333,K9270,146
10950,28.03333333,119.4333333,K9270,198
10950,28.03333333,119.4333333,K9270,105
10950,28.03333333,119.4333333,K9270,35
10950,28.03333333,119.4333333,K9270,46
10950,28.03333333,119.4333333,K9270,30
10950,28.03333333,119.4333333,K9270,84
10940,30.03333333,118.9833333,K1147,53
10940,30.03333333,118.9833333,K1147,49
10940,30.03333333,118.9833333,K1147,64
10940,30.03333333,118.9833333,K1147,41
10940,30.03333333,118.9833333,K1147,58
10940,30.03333333,118.9833333,K1147,100
10940,30.03333333,118.9833333,K1147,81
10880,27.91666667,119.3,K9012,40
10880,27.91666667,119.3,K9012,70
10880,27.91666667,119.3,K9012,98
10880,27.91666667,119.3,K9012,46
10880,27.91666667,119.3,K9012,33
10880,27.91666667,119.3,K9012,12
10880,27.91666667,119.3,K9012,2
10850,27.58333333,119.3,K9340,8
10850,27.58333333,119.3,K9340,23
10850,27.58333333,119.3,K9340,19
10850,27.58333333,119.3,K9340,18
10850,27.58333333,119.3,K9340,2
10850,27.58333333,119.3,K9340,6
10850,27.58333333,119.3,K9340,16
10811,27.73333333,119.4666667,K9363,27
10811,27.73333333,119.4666667,K9363,63
10811,27.73333333,119.4666667,K9363,31
10811,27.73333333,119.4666667,K9363,5
10811,27.73333333,119.4666667,K9363,1
10811,27.73333333,119.4666667,K9363,2
10811,27.73333333,119.4666667,K9363,1
10770,27.86666667,119.2833333,K9217,38
10770,27.86666667,119.2833333,K9217,69
10770,27.86666667,119.2833333,K9217,76
10770,27.86666667,119.2833333,K9217,47
10770,27.86666667,119.2833333,K9217,23
10770,27.86666667,119.2833333,K9217,22
10770,27.86666667,119.2833333,K9217,2
10730,28.55,119.9333333,K9278,20
10730,28.03333333,119.45,K9327,124
10730,28.55,119.9333333,K9278,41
10730,28.03333333,119.45,K9327,211
10730,28.55,119.9333333,K9278,59
10730,28.03333333,119.45,K9327,112
10730,28.55,119.9333333,K9278,63
10730,28.03333333,119.45,K9327,24
10730,28.55,119.9333333,K9278,53
10730,28.03333333,119.45,K9327,42
10730,28.55,119.9333333,K9278,35
10730,28.03333333,119.45,K9327,30
10730,28.55,119.9333333,K9278,17
10730,28.03333333,119.45,K9327,63
10700,27.61666667,119.2833333,K9262,3
10700,27.7,119.6333333,K9348,72
10700,27.61666667,119.2833333,K9262,14
10700,27.7,119.6333333,K9348,87
10700,27.61666667,119.2833333,K9262,14
10700,27.7,119.6333333,K9348,65
10700,27.61666667,119.2833333,K9262,13
10700,27.7,119.6333333,K9348,36
10700,27.61666667,119.2833333,K9262,2
10700,27.7,119.6333333,K9348,30
10700,27.61666667,119.2833333,K9262,4
10700,27.7,119.6333333,K9348,24
10700,27.61666667,119.2833333,K9262,10
10700,27.7,119.6333333,K9348,17
10690,27.78333333,119.2833333,K9180,8
10690,27.78333333,119.2833333,K9180,24
10690,27.78333333,119.2833333,K9180,25
