,lat,lon,IIiii,RR
178,28.89333,121.3694,K8644,161
179,28.89333,121.3694,K8645,8
180,28.84833,121.3367,K8646,174
181,29.00528,121.2608,K8647,154
182,28.91028,121.4022,K8648,152
183,28.71361,121.5781,K8649,97
184,28.71583,121.7297,K8650,53
185,28.70917,121.7539,K8651,0
186,28.71806,121.7117,K8652,0
187,28.78972,120.93333,K8654,0
188,28.75889,121.5583,K8655,111
189,28.85194,121.1328,K8661,82
190,28.43167,121.9033,K8666,0
191,28.0575,121.2708,K8667,74
192,28.71278,121.6378,K8681,90
193,29.26778,120.9864,K8701,109
194,29.12583,120.7947,K8702,33
195,29.25833,121.0914,K8703,0
196,29.09056,121.1014,K8704,67
197,29.05167,120.7939,K8705,88
198,29.07055,121.0,K8706,46
199,29.05917,120.7022,K8707,73
200,29.14472,120.8625,K8708,30
201,29.09945,120.8569,K8709,56
202,29.19722,120.8017,K8710,8
203,29.17194,121.2222,K8711,86
204,29.11111,121.1156,K8712,69
205,29.24306,121.0519,K8713,172
206,29.06778,121.1947,K8714,79
207,29.08805,120.8956,K8715,27
208,29.06944,121.0575,K8716,52
209,29.135,121.0372,K8717,46
210,29.28833,120.9108,K8718,0
211,29.12,121.1022,K8719,78
212,29.20111,120.8997,K8720,48
213,29.20694,121.0164,K8721,91
214,29.02028,120.8761,K8722,114
215,29.02306,120.77,K8723,118
216,29.13806,121.0067,K8724,40
217,29.08805,121.1758,K8725,118
218,29.07278,120.7303,K8726,67
219,29.15139,121.1528,K8727,67
220,29.31056,121.0619,K8728,120
221,29.22417,121.14,K8729,104
222,28.97583,120.8189,K8730,129
223,29.07139,120.8411,K8740,73
224,29.20361,120.9628,K8741,51
225,29.09,120.8,K8742,84
226,29.15,121.21667,K8743,146
227,29.22639,120.8475,K8746,69
228,29.115,121.1244,K8747,59
229,29.13389,120.98,K8759,20
230,29.28889,120.915,K8770,136
231,29.05139,120.8411,K8771,80
232,29.29333,121.1458,K8772,134
233,29.18444,121.1128,K8773,101
234,29.21722,120.8017,K8774,69
235,29.04361,121.3403,K8801,222
236,28.93806,121.7144,K8802,43
237,29.16195,121.5706,K8803,51
238,29.01167,121.5094,K8805,72
239,28.98389,121.3986,K8806,196
240,29.05,121.2208,K8807,79
241,28.8675,121.5128,K8808,143
242,28.92083,121.4714,K8809,113
243,29.01389,121.6083,K8810,111
244,28.97111,121.5808,K8811,103
245,29.0675,121.4881,K8812,133
246,28.87583,121.6383,K8813,88
247,29.07444,121.2789,K8814,61
248,29.15222,121.4575,K8815,58
249,29.10389,121.6006,K8816,0
250,29.07528,121.405,K8817,197
251,29.0025,121.3147,K8818,165
252,29.15861,121.3514,K8819,56
253,29.12361,121.48,K8820,84
254,28.92694,121.5833,K8821,108
255,29.15083,121.3683,K8822,67
256,29.10861,121.5767,K8823,102
257,29.00889,121.4683,K8824,0
258,29.06667,121.6792,K8825,73
259,28.89111,121.6617,K8826,89
260,28.89111,121.6617,K8827,84
261,29.02444,121.3881,K8828,290
262,29.05445,121.2419,K8829,75
263,29.16195,121.5706,K8830,0
264,29.04917,121.4242,K8840,311
265,29.11806,121.5811,K8841,22
266,28.72556,120.5786,K8901,59
267,28.72889,120.4772,K8902,52
268,28.71806,120.7936,K8903,158
269,28.94639,120.7519,K8904,0
270,28.62139,120.7147,K8905,134
271,28.78889,120.8575,K8906,193
272,28.85028,120.5117,K8907,42
273,28.66389,120.6708,K8908,87
274,28.895,120.6228,K8909,64
275,28.69833,120.3353,K8910,65
276,28.67194,120.5706,K8911,51
277,28.57361,120.3961,K8912,133
278,28.645,120.4797,K8913,74
279,28.61611,120.7961,K8914,0
280,28.77722,120.7242,K8915,48
281,28.56083,120.3333,K8916,124
282,28.83972,120.8778,K8917,23
283,28.72583,120.5208,K8918,57
284,28.76056,120.775,K8919,111
285,28.77944,120.4283,K8920,15
286,28.63111,120.4019,K8921,117
287,28.87944,120.8328,K8922,11
288,28.54944,120.5878,K8923,92
289,28.87833,120.6025,K8924,49
290,28.825,120.7467,K8925,0
291,28.69833,120.4433,K8926,54
292,28.87278,120.7306,K8927,17
293,28.81194,120.6328,K8928,9
294,28.775,120.5811,K8929,31
295,28.60417,120.6542,K8942,124
296,28.59222,120.5281,K8943,75
297,28.91639,120.7275,K8945,70
298,28.63917,120.6425,K8946,72
299,28.78306,120.5061,K8947,20
300,28.64528,120.4169,K8948,137
301,28.62583,120.8078,K8949,159
302,28.64278,120.8931,K8982,0
303,28.65472,121.4189,K8001,45
304,28.71889,121.9156,K8002,45
305,28.638986,121.3521,K8003,42
306,29.15,120.95,K8082,0
307,28.67805,121.4467,K8101,40
308,28.69667,121.4897,K8103,73
309,28.75389,121.4047,K8104,78
310,28.70806,121.3967,K8106,100
311,28.59306,121.4592,K8107,58
312,28.73028,121.4508,K8108,84
313,28.61944,121.5092,K8109,61
314,28.49639,121.9056,K8110,127
315,28.69444,121.4744,K8111,30
316,28.66417,121.4556,K8112,60
317,28.64,121.5019,K8113,47
318,28.61722,121.522441,K8114,75
319,28.59028,121.3997,K8115,57
320,28.60861,121.8156,K8116,71
321,28.45333,121.8894,K8117,0
322,28.68333,121.375,K8118,91
323,28.67805,121.5119,K8120,0
324,28.70583,121.4325,K8191,80
325,28.6525,121.28,K8201,106
326,28.59167,120.9753,K8202,113
327,28.54806,121.1744,K8203,129
328,28.61028,121.0614,K8204,157
329,28.67417,121.1369,K8205,187
330,28.53583,120.9131,K8206,96
331,28.67444,120.9375,K8207,133
332,28.65211,121.01093,K8208,189
333,28.60583,120.8744,K8209,157
334,28.515366,121.008268,K8210,209
335,28.6903,121.3275,K8212,106
336,28.54972,121.2781,K8213,84
337,28.58444,121.2314,K8214,102
338,28.68139,121.2067,K8215,120
339,28.595,121.1314,K8216,192
340,28.63222,121.1736,K8217,128
341,28.66945,121.2539,K8218,103
342,28.5981,120.92483,K8219,136
343,28.63056,121.0978,K8220,171
344,28.53806,121.0739,K8221,281
345,28.58417,120.7997,K8222,231
346,28.53722,120.9522,K8225,181
347,28.62472,121.2397,K8226,135
348,28.6125,121.2672,K8227,130
349,28.70555,121.3256,K8228,100
350,28.59833,120.82,K8270,222
351,28.50778,120.8914,K8271,191
352,28.52722,120.9522,K8272,172
353,28.48611,121.0247,K8274,269
354,28.58167,120.9753,K8282,126
355,28.64278,121.1564,K8283,140
356,28.57528,121.3503,K8301,67
357,28.52778,121.4456,K8302,47
358,28.51583,121.4972,K8303,89
359,28.48386,121.62174,K8304,28
360,28.52611,121.5967,K8305,89
361,28.58556,121.3344,K8306,65
362,28.55528,121.4222,K8307,77
363,28.51194,121.4036,K8308,87
364,28.55445,121.4694,K8309,52
365,28.54861,121.3681,K8310,86
366,28.56083,121.33,K8311,69
367,28.50805,121.5872,K8312,90
368,28.56807,121.51892,K8313,72
369,28.48389,121.6217,K8314,28
370,28.56139,121.5944,K8315,37
371,28.55056,121.6422,K8316,32
372,28.61778,121.3067,K8317,105
373,28.56417,121.3083,K8318,61
374,28.56139,121.5944,K8319,57
375,28.45833,121.6653,K8320,79
376,28.52889,121.3761,K8321,80
377,28.55556,121.5392,K8322,38
378,28.34945,121.4606,K8401,225
379,28.52972,121.3078,K8402,88
380,28.49111,121.2411,K8403,118
381,28.37111,121.5664,K8404,145
382,28.32472,121.2611,K8405,206
383,28.4475,121.3258,K8406,99
384,28.24639,121.6039,K8407,20
385,28.47806,121.4594,K8408,68
386,28.42222,121.6081,K8409,113
387,28.28611,121.3994,K8410,127
388,28.38389,121.3003,K8411,86
389,28.39889,121.5228,K8412,163
390,28.45056,121.5589,K8413,148
391,28.49917,121.2019,K8414,91
392,28.4125,121.6617,K8415,92
393,28.41556,121.4511,K8416,177
394,28.42056,121.2528,K8417,107
395,28.32583,121.6189,K8419,61
396,28.36194,121.2825,K8420,152
397,28.32944,121.3311,K8421,305
398,28.48222,121.3236,K8422,90
399,28.41195,121.3767,K8423,153
400,28.45722,121.3997,K8424,25
401,28.23111,121.6356,K8425,71
402,28.41111,121.5644,K8426,184
403,28.46889,121.2619,K8427,92
404,28.48944,121.3794,K8429,85
405,28.39,121.3681,K8430,181
406,28.49694,121.3361,K8441,89
407,28.43611,121.4358,K8442,132
408,28.48944,121.4331,K8443,75
409,28.345,121.4997,K8444,214
410,28.43167,121.6581,K8445,103
411,28.325,121.4075,K8446,252
412,28.32778,121.4594,K8447,213
413,28.30389,121.6469,K8448,16
414,28.48333,121.56667,K8452,-9999
415,28.25694,121.2867,K8501,77
416,28.16639,121.3717,K8502,214
417,28.24389,121.3803,K8503,42
418,28.21,121.1575,K8504,74
419,28.12556,121.2369,K8505,190
420,28.09222,121.4039,K8506,196
421,28.09167,121.2042,K8507,105
422,28.08583,121.52,K8508,47
423,28.08833,121.1528,K8509,141
424,28.19611,121.3092,K8510,64
425,28.19833,121.2414,K8511,107
426,28.21694,121.3014,K8512,222
427,28.10611,121.36417,K8513,141
428,28.27833,121.2453,K8515,168
429,28.10306,121.1358,K8517,63
430,28.22667,121.3333,K8518,322
431,28.24806,121.2539,K8520,122
432,28.31528,121.3458,K8521,206
433,28.195,121.2103,K8522,134
434,28.1333,121.1333,K8526,0
435,28.11917,121.1981,K8527,78
436,28.2425,121.1392,K8528,0
437,28.22222,121.3753,K8530,355
438,28.22222,121.3753,K8580,355
439,28.31528,121.3458,K8581,206
440,28.10611,121.36417,K8582,169
441,28.10556,121.2369,K8583,157
442,28.19833,121.2414,K8584,107
443,28.09167,121.2042,K8585,214
444,28.21,121.1575,K8586,74
445,28.08583,121.52,K8587,41
446,28.09222,121.4039,K8588,196
447,28.2425,121.1392,K8589,0
448,28.76667,121.4869,K8601,168
449,28.75694,121.3186,K8602,70
450,28.89917,120.9047,K8603,43
451,28.92889,121.2622,K8604,174
452,29.00056,121.1142,K8605,114
453,28.7425,121.1011,K8606,171
454,28.795,121.1706,K8607,134
455,28.84,121.2647,K8608,131
456,28.85222,121.4519,K8609,129
457,28.83722,121.6631,K8610,41
458,28.71278,121.6378,K8611,35
459,28.87944,121.3731,K8613,166
460,28.95778,121.2133,K8614,158
461,28.79444,121.1206,K8615,102
462,28.74611,121.2358,K8616,117
463,28.90444,121.2022,K8617,0
464,28.87278,121.0231,K8618,122
465,28.97889,121.1494,K8619,201
466,28.80861,121.5797,K8620,56
467,28.69306,121.5456,K8621,53
