58443,31.01666667,119.9,40.28571429,0
58444,30.41666667,120.2833333,59.14285714,
58446,30.63333333,119.7,48.28571429,
58448,30.3,119.7333333,61.28571429,
58449,30.05,119.95,64.28571429,
58450,30.85,120.0833333,26.85714286,
58451,30.83333333,120.9166667,30.85714286,
58452,30.73333333,120.75,28.28571429,
58453,30.06666667,120.5,59.14285714,
58454,30.53333333,119.9833333,42.71428571,
58455,30.51666667,120.6333333,55,
58456,30.63333333,120.5166667,36.57142857,
58457,30.23333333,120.1666667,67.28571429,
58458,30.53333333,120.9,57.57142857,
58459,30.18333333,120.2833333,75.71428571,
58464,30.65,121.1166667,43.71428571,
58466,30.6,122.0833333,27.71428571,
58467,30.2,121.3,106.7142857,
58468,30.05,121.1666667,70.57142857,
58469,30.31666667,121.95,71,
58471,30.61666667,122.4166667,13.14285714,
58472,30.73333333,122.45,14.71428571,
58473,30.73333333,122.8166667,14.14285714,
58476,30.35,122.1833333,26.28571429,
58477,30.03333333,122.1,94,
58478,30.25,122.0833333,37.57142857,
58484,30.25,122.2,78,
58487,30.18333333,122.6833333,47.71428571,
58537,29.13333333,118.4,13.71428571,
58542,29.81666667,119.6833333,53.57142857,
58543,29.61666667,119.0166667,23.85714286,
58544,29.48333333,119.2666667,23.85714286,
58546,29.46666667,119.8833333,32.28571429,
58547,29.03333333,119.1833333,33.57142857,
58548,29.21666667,119.4666667,34.28571429,
58549,29.11666667,119.65,28.28571429,
58550,29.7,120.25,51.14285714,
58553,30.05,120.8166667,53.42857143,
58554,30.16666667,120.8833333,51.42857143,
58555,29.51666667,120.8833333,33.85714286,
58556,29.6,120.8166667,19.57142857,
58557,29.31666667,120.0666667,26.42857143,
58558,29.26666667,120.2166667,11.14285714,
58559,29.15278,120.97056,98.85714286,
58560,29.05,120.4333333,81.14285714,
58561,29.98333333,121.6,107.2857143,
58562,29.8,121.5,86.71428571,
58563,29.88333333,121.8333333,142,
58564,29.26666667,121.5,78.42857143,
58565,29.7,121.3833333,66.42857143,
58566,29.46666667,121.8833333,118.2857143,
58567,29.31666667,121.4333333,200.1428571,
58568,29.12278,121.38333,156.7142857,
58569,29.2,121.95,66.57142857,
58570,29.95,122.3,46.57142857,
58571,29.86666667,122.2666667,49.85714286,
58572,29.93333333,122.45,56.28571429,
58573,29.75,122.75,22.57142857,
58574,29.63333333,122.0166667,119.5714286,
58631,28.9,118.5,22.14285714,
58632,28.75,118.6333333,25.42857143,
58633,29,118.9,22.42857143,
58642,28.88333333,119.8,53.71428571,
58643,28.9,120.0333333,13,
58644,28.6,119.2833333,22.42857143,
58645,28.43333333,119.4833333,32.28571429,
58646,28.45,119.9166667,29.42857143,
58647,28.08333333,119.1333333,13,
58648,27.99195,119.635,68.71428571,
58652,28.86722,120.71889,108.1428571,
58653,28.80972,120.9222,486.1428571,
58654,28.66666667,120.0833333,37.28571429,
58656,28.06666667,120.9666667,89.42857143,
58657,28.15,120.2833333,13.85714286,
58658,28.15,120.6833333,65.71428571,
58659,28.03333333,120.65,22.85714286,
58660,28.87389,121.19278,173.1428571,
58661,28.6625,121.5108,93.57142857,
58662,29.0131,121.7056,42.71428571,
58663,28.71889,121.9156,42.57142857,
58664,28.37278,121.35889,230.4285714,
58665,28.61806,121.41639,83.28571429,
58666,28.446,121.90333,114.1428571,
58667,28.0775,121.27083,207.1428571,
58668,28.09583,121.52,106.5714286,
58669,28.260317,121.616252,87.71428571,
58742,28.11666667,119.55,13.42857143,
58745,27.61666667,119.0833333,6,
58746,27.55,119.7,2,
58750,27.78333333,120.0833333,4.571428571,
58751,27.66666667,120.5666667,0.714285714,
58752,27.78333333,120.65,1.571428571,
58753,27.8,120.7666667,5.428571429,
58755,27.5,120.3833333,0.571428571,
58758,27.16666667,120.4833333,13.28571429,
58760,27.83333333,121.15,128.7142857,
58761,28,121.2333333,148,
58762,27.78333333,121.0833333,40.85714286,
58763,28.18333333,121.1,55,
58764,27.46666667,121.0833333,10.28571429,
58765,27.63333333,121.2,16.71428571,
58768,27.55,121.4,18,
K0101,28.45,119.4833333,42.57142857,
K0102,27.98333333,119.6333333,48.71428571,
K1001,30.26666667,120.1666667,52,
K1002,30.36666667,120.1333333,64.42857143,
K1003,30.3,120.3333333,42.71428571,
K1004,30.15,120.15,71.42857143,
K1005,30.25,120.0666667,61.85714286,
K1007,30.25,120.15,0,
K1008,30.31666667,120.0833333,69.28571429,
K1009,30.16666667,120.0666667,64.57142857,
K1010,30.26666667,120.2166667,56,
K1011,29.96666667,119.7166667,53.14285714,
K1012,30.16666667,119.2166667,30.57142857,
K1013,29.33333333,119.1666667,22.57142857,
K1014,30.28333333,120.6333333,65.57142857,
K1015,29.85,119.35,56.42857143,
K1016,29.35,118.7,30.28571429,
K1017,30.43333333,119.7833333,51.57142857,
K1018,30.23333333,120.1166667,53.85714286,
