IIiii,lat,lon,RR
K0101,28.449999999999996,119.48333333333333,42.57142857142857
K0102,27.98333333333334,119.63333333333334,48.714285714285715
K1001,30.26666666666666,120.16666666666666,52.0
K1002,30.36666666666667,120.13333333333334,64.42857142857143
K1003,30.300000000000004,120.33333333333334,42.714285714285715
K1004,30.150000000000002,120.14999999999999,71.42857142857143
K1005,30.25,120.06666666666663,61.857142857142854
K1007,30.25,120.14999999999999,0.0
K1008,30.316666666666666,120.08333333333334,69.28571428571429
K1009,30.166666666666664,120.06666666666663,64.57142857142857
K1010,30.26666666666666,120.21666666666668,56.0
K1011,29.966666666666665,119.71666666666668,53.142857142857146
K1012,30.166666666666664,119.21666666666668,30.571428571428573
K1013,29.333333333333336,119.16666666666666,22.571428571428573
K1014,30.283333333333335,120.63333333333334,65.57142857142857
K1015,29.849999999999998,119.35000000000001,56.42857142857143
K1016,29.349999999999998,118.70000000000002,30.285714285714285
K1017,30.433333333333334,119.78333333333332,51.57142857142857
K1018,30.23333333333334,120.11666666666666,53.857142857142854
K1019,30.466666666666665,120.18333333333337,47.285714285714285
K1020,30.26666666666666,119.89999999999999,62.285714285714285
K1021,30.01666666666666,120.29999999999998,88.71428571428571
K1022,30.26666666666666,120.43333333333337,80.0
K1023,29.933333333333334,120.16666666666666,7.0
K1024,29.36666666666667,119.51666666666667,21.142857142857142
K1025,30.23333333333334,119.68333333333337,68.85714285714286
K1026,29.900000000000002,119.53333333333332,46.142857142857146
K1027,30.0,120.0,101.42857142857143
K1028,30.033333333333335,119.45000000000002,58.0
K1029,30.150000000000002,120.26666666666667,71.57142857142857
K1030,29.5,119.38333333333334,30.857142857142858
K1031,29.533333333333335,119.56666666666663,53.0
K1032,30.199999999999996,119.39999999999999,40.0
K1033,30.283333333333335,119.10000000000001,141.57142857142858
K1034,30.333333333333336,119.29999999999998,54.285714285714285
K1035,29.849999999999998,120.11666666666666,79.57142857142857
K1036,29.683333333333334,119.89999999999999,72.85714285714286
K1037,30.400000000000002,119.96666666666668,56.42857142857143
K1038,29.583333333333336,119.73333333333333,82.14285714285714
K1039,29.650000000000002,119.53333333333332,43.857142857142854
K1041,29.316666666666666,119.31666666666663,22.714285714285715
K1042,30.38333333333333,120.5,47.142857142857146
K1043,30.01666666666666,119.21666666666668,43.42857142857143
K1044,30.13333333333333,119.78333333333332,92.57142857142857
K1045,30.11666666666667,118.89999999999999,32.0
K1046,30.300000000000004,118.95000000000002,47.285714285714285
K1047,30.300000000000004,119.56666666666663,53.57142857142857
K1048,30.066666666666666,120.20000000000002,76.28571428571429
K1049,30.166666666666664,120.45000000000002,48.57142857142857
K1050,30.033333333333335,119.60000000000001,51.42857142857143
K1051,30.083333333333336,119.81666666666663,98.42857142857143
K1052,30.150000000000002,119.98333333333333,64.42857142857143
K1053,29.76666666666666,119.53333333333332,49.42857142857143
K1054,29.933333333333334,119.29999999999998,41.0
K1055,29.86666666666667,119.76666666666667,56.0
K1056,29.716666666666665,119.63333333333334,78.71428571428571
K1057,29.683333333333334,118.85000000000001,14.857142857142858
K1058,29.550000000000004,118.88333333333334,22.285714285714285
K1059,29.849999999999998,119.11666666666666,33.42857142857143
K1060,29.550000000000004,118.63333333333334,18.142857142857142
K1061,29.599999999999998,118.75,0.0
K1062,29.783333333333335,119.20000000000002,15.714285714285714
K1063,29.25,118.71666666666668,41.857142857142854
K1064,29.466666666666665,119.08333333333334,29.428571428571427
K1065,29.916666666666664,118.91666666666666,15.0
K1066,30.183333333333334,120.08333333333334,68.71428571428571
K1067,30.183333333333334,120.03333333333332,55.42857142857143
K1068,30.26666666666666,120.08333333333334,65.0
K1069,30.083333333333336,120.10000000000001,74.85714285714286
K1070,29.333333333333336,118.98333333333333,40.285714285714285
K1071,30.433333333333334,119.56666666666663,126.0
K1072,30.199999999999996,119.04999999999998,29.857142857142858
K1073,29.816666666666666,119.95000000000002,126.42857142857143
K1074,29.916666666666664,119.86666666666666,87.85714285714286
K1075,29.433333333333334,118.48333333333333,15.571428571428571
K1076,29.833333333333336,118.86666666666666,17.428571428571427
K1077,30.099999999999998,119.51666666666667,55.285714285714285
K1079,30.183333333333334,120.33333333333334,118.71428571428571
K1080,29.666666666666664,119.33333333333334,29.857142857142858
K1081,30.13333333333333,120.11666666666666,58.42857142857143
K1082,29.933333333333334,120.28333333333332,67.85714285714286
K1083,30.183333333333334,120.58333333333334,61.0
K1084,30.066666666666666,118.95000000000002,36.285714285714285
K1085,30.36666666666667,119.66666666666666,84.0
K1086,30.050000000000004,119.35000000000001,51.42857142857143
K1087,29.76666666666666,119.71666666666668,111.0
K1088,29.916666666666664,119.43333333333337,53.57142857142857
K1089,29.833333333333336,119.45000000000002,86.71428571428571
K1090,29.783333333333335,119.41666666666666,102.71428571428571
K1091,29.833333333333336,119.60000000000001,58.57142857142857
K1092,29.650000000000002,119.71666666666668,90.71428571428571
K1093,29.716666666666665,119.79999999999998,108.0
K1094,30.166666666666664,119.66666666666666,53.714285714285715
K1095,30.199999999999996,118.93333333333337,74.28571428571429
K1096,30.23333333333334,119.23333333333333,32.0
K1097,30.099999999999998,119.10000000000001,38.0
K1098,30.099999999999998,119.39999999999999,45.142857142857146
K1099,30.199999999999996,119.5,61.142857142857146
K1100,30.099999999999998,119.23333333333333,45.42857142857143
K1101,30.033333333333335,119.73333333333333,67.14285714285714
K1102,30.13333333333333,119.56666666666663,61.857142857142854
K1103,30.13333333333333,119.85000000000001,98.28571428571429
K1104,29.900000000000002,120.0,38.714285714285715
K1105,29.88333333333333,119.93333333333337,123.71428571428571
K1106,29.933333333333334,120.01666666666667,111.85714285714286
K1107,30.0,120.08333333333334,86.28571428571429
K1108,29.98333333333334,119.89999999999999,60.57142857142857
K1109,29.933333333333334,119.76666666666667,93.42857142857143
K1110,30.01666666666666,119.83333333333334,60.285714285714285
