IIiii,Height,lat,lon,RR,RR_Totle,Z,,
K7805,230,28.1,119.71,228,159.6,23,,
K8903,1040,28.71806,120.7936,226.8571429,158.8,104,,
K8942,4210,28.60417,120.6542,224.7142857,157.3,421,,
K2940,360,29.46666667,121.6833333,224.4285714,157.1,36,,
K8608,150,28.84,121.2647,223.8571429,156.7,15,,
K2430,50,29.8,121.7333333,222.7142857,155.9,5,,
K8613,600,28.87944,121.3731,222.7142857,155.9,60,,
K3325,80,28.23333333,121.1333333,221.4285714,155,8,,
K2813,1960,29.36666667,121.3166667,220.8571429,154.6,196,,
K8906,930,28.78889,120.8575,220.2857143,154.2,93,,
K8773,2910,29.18444,121.1128,220,154,291,,
K4829,4580,29.3367,121.1,219.2857143,153.5,458,,
K8507,2810,28.09167,121.2042,218.1428571,152.7,281,,
K6212,7650,28.75,119.85,217,151.9,765,,
K2843,150,29.26666667,121.4333333,216.7142857,151.7,15,,
K3237,970,28.41666667,120.8333333,214.5714286,150.2,97,,
K4808,3580,29.36666667,121.1,214.5714286,150.2,358,,
K9029,7730,28.73333333,119.8833333,214,149.8,773,,
K8619,6160,28.97889,121.1494,211.5714286,148.1,616,,
K9020,9310,28.5,120.2666667,211,147.7,931,,
K2861,2620,29.13333333,121.2833333,210.7142857,147.5,262,,
K8203,450,28.54806,121.1744,210.4285714,147.3,45,,
K8772,3410,29.29333,121.1458,210.2857143,147.2,341,,
K8905,5690,28.62139,120.7147,210,147,569,,
K8711,1680,29.17194,121.2222,208.8571429,146.2,168,,
K9006,8310,28.18333333,119.7833333,208.8571429,146.2,831,,
K6100,3670,28.95,120.6,208.4285714,145.9,367,,
K4807,4240,29.41666667,121.1666667,208.2857143,145.8,424,,
K2413,150,29.85,121.7,208,145.6,15,,
K2915,35,29.5,121.6333333,207.7142857,145.4,3.5,,
58667,971,28.0775,121.27083,207.1428571,145,97.1,,
K2823,210,29.23333333,121.35,205.8571429,144.1,21,,
K8818,1390,29.0025,121.3147,204.5714286,143.2,139,,
K2858,3140,29.3,121.4666667,204.4285714,143.1,314,,
K8604,400,28.92889,121.2622,203.8571429,142.7,40,,
K3303,40,27.81666667,121.1166667,203.4285714,142.4,4,,
K2827,1760,29.45,121.3333333,202.5714286,141.8,176,,
K8919,5140,28.76056,120.775,202.5714286,141.8,514,,
K2395,50,29.75,121.92,201.6666667,141.1666667,5,,
K8817,880,29.07528,121.405,201.2857143,140.9,88,,
K2316,250,29.78333333,121.8666667,200.8571429,140.6,25,,
K8705,1240,29.05167,120.7939,200.4285714,140.3,124,,
58567,404,29.31666667,121.4333333,200.1428571,140.1,40.4,,
K2627,6750,29.76666667,121.1166667,199.2857143,139.5,675,,
K8945,8250,28.91639,120.7275,199.1428571,139.4,825,,
K3366,4610,28.49139,120.6164,198.4285714,138.9,461,,
K8509,190,28.08833,121.1528,197.5714286,138.3,19,,
K3099,6230,28.45,120.4,197,137.9,623,,
K8771,1340,29.05139,120.8411,195.7142857,137,134,,
K2724,3620,29.45,121.2333333,195.5714286,136.9,362,,
K6252,5500,29.1,120.65,195.4285714,136.8,550,,
K8644,1380,28.89333,121.3694,195.4285714,136.8,138,,
K8615,120,28.79444,121.1206,194,135.8,12,,
K2941,250,29.46666667,121.6833333,193.4285714,135.4,25,,
K3072,4160,28.48333333,120.4833333,193.1428571,135.2,416,,
K3330,5070,28.45,120.8333333,193.1428571,135.2,507,,
K8417,4650,28.42056,121.2528,192.8571429,135,465,,
K3172,120,28.21666667,121.0166667,191.4285714,134,12,,
K2853,460,29.3,121.3666667,191,133.7,46,,
K2327,10,29.76666667,121.9,190.8571429,133.6,1,,
K2855,1050,29.26666667,121.5166667,190.7142857,133.5,105,,
K9380,7480,28.7,120.3067,190.4285714,133.3,748,,
K8430,250,28.39,121.3681,189.7142857,132.8,25,,
K8742,1280,29.09,120.8,189.2857143,132.5,128,,
K8946,6510,28.63917,120.6425,189.1428571,132.4,651,,
K9085,4210,28.71666667,120.3,189.1428571,132.4,421,,
K2846,3780,29.2,121.3833333,189,132.3,378,,
K8648,2710,28.91028,121.4022,188.8571429,132.2,271,,
K8420,470,28.36194,121.2825,188.1428571,131.7,47,,
K2924,33,29.11666667,121.8166667,188,131.6,3.3,,
K8745,4250,29.12,120.86667,186.7142857,130.7,425,,
K3054,5070,28.16666667,120.9,186.4285714,130.5,507,,
K8446,310,28.325,121.4075,186.1428571,130.3,31,,
K8522,50,28.195,121.2103,185.2857143,129.7,5,,
K8722,5230,29.02028,120.8761,184.7142857,129.3,523,,
K2916,80,29.46666667,121.7833333,184.5714286,129.2,8,,
K8709,4250,29.09945,120.8569,184.5714286,129.2,425,,
K2920,80,29.3,121.8,183.5714286,128.5,8,,
K2838,2540,29.46666667,121.3166667,182.5714286,127.8,254,,
K9026,9800,28.68333333,120.2166667,182.1428571,127.5,980,,
K3184,2710,28.2,120.8333333,181,126.7,271,,
K2840,20,29.26666667,121.6,180.2857143,126.2,2,,
K6251,11300,28.93,120.6,180.2857143,126.2,1130,,
K6178,425,28.91666667,120.45,179.8571429,125.9,42.5,,
K8667,969,28.0575,121.2708,179.8571429,125.9,96.9,,
K3005,1340,28.1,120.85,179.7142857,125.8,134,,
K8601,80,28.76667,121.4869,179.7142857,125.8,8,,
K8729,5290,29.22417,121.14,179.5714286,125.7,529,,
K2319,56,29.9,121.7,179.4285714,125.6,5.6,,
K8740,1340,29.07139,120.8411,179,125.3,134,,
K9048,7540,28.8,120.3733,178.2857143,124.8,754,,
K9030,3500,28.68333333,119.8833333,178,124.6,350,,
K2830,6130,29.21666667,121.2,177.4285714,124.2,613,,
K2734,1170,29.63333333,121.1666667,177.1428571,124,117,,
K2431,40,29.8,121.5666667,177,123.9,4,,
K8807,810,29.05,121.2208,176.7142857,123.7,81,,
K2825,60,29.2,121.65,175.4285714,122.8,6,,
K8728,2420,29.31056,121.0619,175.4285714,122.8,242,,
K8641,110,28.77222,121.1153,175.1428571,122.6,11,,
K8403,120,28.49111,121.2411,174.5714286,122.2,12,,
K8582,600,28.10611,121.36417,174.5714286,122.2,60,,
K3326,80,28.16666667,120.9833333,174.4285714,122.1,8,,
K2934,310,29.16666667,121.7833333,173.7142857,121.6,31,,
K6318,3200,28.99,120.65,173.5714286,121.5,320,,
58660,75,28.87389,121.19278,173.1428571,121.2,7.5,,
K2717,620,29.61666667,121.2,173.1428571,121.2,62,,
K6146,7240,29,120.5166667,172.7142857,120.9,724,,
K2826,3590,29.13333333,121.3166667,172.1428571,120.5,359,,
K6082,5630,29.15,120.65,171.7142857,120.2,563,,
K2845,280,29.41666667,121.5833333,169.7142857,118.8,28,,
K3358,40,28.15889,121.0647,169.7142857,118.8,4,,
K4832,4260,29.3367,121.0333,169.5714286,118.7,426,,
K2852,100,29.18333333,121.7166667,169,118.3,10,,
K2393,50,29.88,121.77,168.8571429,118.2,5,,
K3307,156,28.16666667,121.0333333,168.8571429,118.2,15.6,,
K2457,60,29.81666667,121.6666667,168.4285714,117.9,6,,
K8618,140,28.87278,121.0231,168.1428571,117.7,14,,
K2919,100,29.58333333,121.9,168,117.6,10,,
K9104,11790,28.46666667,120.2833333,167.4285714,117.2,1179,,
K2622,4510,29.83333333,121.1333333,166.7142857,116.7,451,,
K3098,350,28.25,120.8166667,166.5714286,116.6,35,,
K8427,60,28.46889,121.2619,166.5714286,116.6,6,,
K9204,2380,28.55,120.1333333,166.5714286,116.6,238,,
K8625,900,28.93361,121.0011,166.1428571,116.3,90,,
K2822,3330,29.18333333,121.25,165.7142857,116,333,,
K3320,748,27.98333333,121.1,165.5714286,115.9,74.8,,
K8283,610,28.64278,121.1564,165.5714286,115.9,61,,
K8725,830,29.08805,121.1758,165.5714286,115.9,83,,
K8727,9190,29.15139,121.1528,165.4285714,115.8,919,,
K3273,3770,28.48333333,120.5833333,165,115.5,377,,
K2733,480,29.63333333,121.2333333,164.8571429,115.4,48,,
K9201,4670,28.75,120.3166667,164.7142857,115.3,467,,
K8614,240,28.95778,121.2133,163.4285714,114.4,24,,
K2325,2605,29.8,121.8833333,162.8571429,114,260.5,,
K8506,310,28.09222,121.4039,162,113.4,31,,
K8588,310,28.09222,121.4039,162,113.4,31,,
K2153,40,29.86666667,121.6,161.1428571,112.8,4,,
K8584,990,28.19833,121.2414,161.1428571,112.8,99,,
K7902,6190,28.26666667,119.8333333,161,112.7,619,,
K2326,470,29.86666667,121.8333333,160.8571429,112.6,47,,
K2818,1280,29.21666667,121.5,160.2857143,112.2,128,,
K3356,70,28.22583,120.9989,159.8571429,111.9,7,,
K8923,4070,28.54944,120.5878,159.8571429,111.9,407,,
K3350,410,27.96472,121.1358,159.5714286,111.7,41,,
K2944,110,29.51666667,121.7,159.2857143,111.5,11,,
K8701,3000,29.26778,120.9864,159,111.3,300,,
K6254,5890,29.04,120.61,158.4285714,110.9,589,,
K2620,6010,29.91666667,121.15,158,110.6,601,,
K4441,1740,29.8,121.0833333,157.8571429,110.5,174,,
K8622,120,28.87167,121.0797,157.5714286,110.3,12,,
K9324,5610,28.73333333,119.3666667,157.1428571,110,561,,
K8503,190,28.24389,121.3803,157,109.9,19,,
58568,357,29.12278,121.38333,156.7142857,109.7,35.7,,
K3168,120,28.18333,121.0161,156.4285714,109.5,12,,
K9109,3809,28.76666667,119.3166667,156.4285714,109.5,380.9,,
K2917,200,29.4,121.8333333,156.2857143,109.4,20,,
K8824,250,29.00889,121.4683,155.2857143,108.7,25,,
K7304,1980,28.85,119.25,155.1428571,108.6,198,,
K8721,4520,29.20694,121.0164,155.1428571,108.6,452,,
K2448,2800,29.68333333,121.6333333,155,108.5,280,,
K5145,5560,30.45,119.4666667,155,108.5,556,,
K8305,30,28.52611,121.5967,155,108.5,3,,
K2943,36,29.6,121.8166667,154.8571429,108.4,3.6,,
K8912,2200,28.57361,120.3961,154.7142857,108.3,220,,
K9633,790,30.08333333,122.0666667,154.5714286,108.2,79,,
K2714,7110,29.71666667,121.2,154.4285714,108.1,711,,
K2451,7120,29.76666667,121.1666667,154.2857143,108,712,,
K2849,470,29.36666667,121.6833333,153.8571429,107.7,47,,
K3274,540,28.23639,120.8172,153.7142857,107.6,54,,
K8513,600,28.10611,121.36417,153.4285714,107.4,60,,
K2260,12,29.93333333,121.65,153.2857143,107.3,1.2,,
K4443,2081,29.78333333,121.05,153.1428571,107.2,208.1,,
K8808,350,28.8675,121.5128,153.1428571,107.2,35,,
K8909,1970,28.895,120.6228,153,107.1,197,,
K9073,2910,28.65,120.2333333,152.8571429,107,291,,
K2638,455,30.03333333,121.4,152.4285714,106.7,45.5,,
K8643,8050,29.00028,120.9667,152.2857143,106.6,805,,
K3051,1730,28.4,120.7833333,151.7142857,106.2,173,,
K5018,7260,30.46666667,119.5833333,151.4285714,106,726,,
K8830,60,29.16195,121.5706,150.8333333,105.5833333,6,,
K2839,2000,29.15,121.3166667,150,105,200,,
K8410,330,28.28611,121.3994,149.5714286,104.7,33,,
K8915,610,28.77722,120.7242,149.5714286,104.7,61,,
K2946,54,29.26666667,121.8333333,149.2857143,104.5,5.4,,
K8714,1110,29.06778,121.1947,149.1428571,104.4,111,,
K2427,30,29.85,121.6333333,149,104.3,3,,
K5103,1860,30.45,119.3833333,149,104.3,186,,
K2937,400,29.11666667,121.8666667,148.8571429,104.2,40,,
K2422,240,29.73333333,121.8166667,148.5714286,104,24,,
